"id","ym","pc","ave"
"JKSE",200001,NA,NA
"JKSE",200002,NA,NA
"JKSE",200003,NA,NA
"JKSE",200004,NA,NA
"JKSE",200005,NA,NA
"JKSE",200006,-0.555378619843049,-0.0612319167491993
"JKSE",200007,-1.43690519760167,-0.116267541956577
"JKSE",200008,-2.33175549503141,-0.183761991349732
"JKSE",200009,-2.25414602055185,-0.223785463051094
"JKSE",200010,-2.23061548823472,-0.238782372922079
"JKSE",200011,-2.195056149389,-0.16149987047596
"JKSE",200012,-2.3114007510092,-0.226718577955568
"JKSE",200101,-2.00235054531167,-0.178863441489385
"JKSE",200102,-2.16366345020142,-0.171303433524748
"JKSE",200103,-1.35102145675385,-0.0916853026175878
"JKSE",200104,-1.63952750000876,-0.130628109582853
"JKSE",200105,-1.87144264315908,-0.254925807857763
"JKSE",200106,-1.61417686098007,-0.151267158844702
"JKSE",200107,-0.40527076077319,-0.0670084838700608
"JKSE",200108,0.225890731154329,0.209110669339116
"JKSE",200109,0.315865755228838,0.234745945696342
"JKSE",200110,0.393015017808054,0.24968802308072
"JKSE",200111,0.328950612350117,0.226017280359117
"JKSE",200112,0.467721141821186,0.260335586338452
"JKSE",200201,0.552668906671912,0.285673192318572
"JKSE",200202,0.552563291765166,0.280293939964312
"JKSE",200203,0.575909493507333,0.311750856612654
"JKSE",200204,0.44428516031189,0.289614205638153
"JKSE",200205,1.04511712368269,0.362385739573764
"JKSE",200206,1.12319226742508,0.375399988279036
"JKSE",200207,0.549503301638245,0.189057880586129
"JKSE",200208,0.494745099378796,0.244419477070872
"JKSE",200209,0.682081352469515,0.375795448290084
"JKSE",200210,0.19800160053573,0.209831429033852
"JKSE",200211,0.0411456968813207,0.0718852224585225
"JKSE",200212,0.426863400715932,0.143599003979791
"JKSE",200301,0.521329485945999,0.172179810222237
"JKSE",200302,0.529463200583476,0.175132602232443
"JKSE",200303,0.132871403336907,0.109900059498617
"JKSE",200304,0.619981708053228,0.121643226682486
"JKSE",200305,0.461682465249847,0.0218482685754466
"JKSE",200306,-0.250716787893915,-0.144766195651141
"JKSE",200307,-1.11350592242143,-0.276426582864774
"JKSE",200308,-0.768140822129721,-0.19972630049014
"JKSE",200309,-0.744529367608215,-0.12929525925031
"JKSE",200310,-0.584586305054959,-0.00976542153767265
"JKSE",200311,-0.33309911662144,0.111585725259012
"JKSE",200312,-0.0220130231138633,0.163439587499994
"JKSE",200401,-0.187221887747178,0.119414848186942
"JKSE",200402,0.107293115769217,0.149773303869521
"JKSE",200403,0.0538407576574027,0.159857118008143
"JKSE",200404,-0.00692822478658453,0.101401148275151
"JKSE",200405,-0.559638016435632,-0.169893963373014
"JKSE",200406,-0.0934708189152464,0.00241051241389326
"JKSE",200407,-0.149433236671889,-0.143066885613598
"JKSE",200408,-0.274666787937699,-0.151950993814055
"JKSE",200409,-0.922151217950224,-0.256165352776399
"JKSE",200410,-0.89963461422091,-0.237736895450101
"JKSE",200411,-1.15752932682201,-0.264566457865504
"JKSE",200412,-1.3363463271845,-0.33307396421905
"JKSE",200501,-1.29575880228511,-0.219349074434103
"JKSE",200502,-1.22567338744586,-0.3427324443188
"JKSE",200503,-1.37222062596821,-0.339383362224346
"JKSE",200504,-1.69328001320943,-0.396052924826598
"JKSE",200505,-1.73096177036656,-0.305854098076387
"JKSE",200506,-1.33022093432667,-0.345907431764
"JKSE",200507,-1.90229108668718,-0.581519567615896
"JKSE",200508,-0.365078970831921,-0.23961423273149
"JKSE",200509,0.435517794739789,-0.0577725311848293
"JKSE",200510,0.465629480944432,-0.108171008760789
"JKSE",200511,0.410705799803191,-0.127251059413138
"JKSE",200512,0.559964701653862,-0.0463707654094794
"JKSE",200601,-0.107181304304066,-0.0560750410451369
"JKSE",200602,-0.0767826642595345,-0.0403119065267382
"JKSE",200603,0.0039348046382756,-0.0412941550109718
"JKSE",200604,0.106204907260915,-0.0498385762439309
"JKSE",200605,0.301812159393828,0.0629286489634455
"JKSE",200606,0.45000432388688,0.0384670569474999
"JKSE",200607,0.105704149260394,-0.125172809636327
"JKSE",200608,-0.161074957055453,-0.205856608235792
"JKSE",200609,-0.041544611273192,-0.155905271846412
"JKSE",200610,0.256672480322529,-0.103779542410226
"JKSE",200611,0.50962868411754,-0.0700415401410105
"JKSE",200612,0.606488920503902,0.024552872832539
"JKSE",200701,0.829652628917082,0.0319654085243971
"JKSE",200702,1.03370316302748,0.0878206359315481
"JKSE",200703,1.05150091346765,0.100708503010741
"JKSE",200704,1.25257903071412,0.1131528670015
"JKSE",200705,-0.0720858314706145,0.144299695291833
"JKSE",200706,0.131479998554361,-0.00808220575974575
"JKSE",200707,0.028660018054886,-0.0559075907687701
"JKSE",200708,0.284073952709154,0.0251694140334578
"JKSE",200709,-0.0489051487988271,-0.0772832099920373
"JKSE",200710,-0.314668904621046,-0.113076468553783
"JKSE",200711,-0.586691597746469,-0.137703691297324
"JKSE",200712,-0.750001917226083,-0.120150305862857
"JKSE",200801,-0.777864599561765,-0.15047976712405
"JKSE",200802,-0.851119890936947,-0.158107897234353
"JKSE",200803,-0.706024794213652,-0.185064315463885
"JKSE",200804,-0.713786681361567,-0.202903826957481
"JKSE",200805,-0.85734344673663,-0.362557875124016
"JKSE",200806,-0.871068462113115,-0.488660784476175
"JKSE",200807,-1.15183540184679,-0.557889857714414
"JKSE",200808,-0.489502075821672,-0.354341240526767
"JKSE",200809,-1.29031332468853,-0.463345093203706
"JKSE",200810,1.80777187389535,0.316118833481439
"JKSE",200811,2.89497557606209,0.709712843744169
